ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Age,Total_Spending,Dt_Customer_Year,Age_Group,Spending_Segment,MntWines_Pct,MntFruits_Pct,MntMeatProducts_Pct,MntFishProducts_Pct,MntSweetProducts_Pct,MntGoldProds_Pct,Income_Bracket
5524,1957,UnderGraduate,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,57,1617,2012,51-60,High Spender,39.27025355596784,5.442176870748299,33.76623376623377,10.636982065553493,5.442176870748299,5.442176870748299,High
2174,1954,UnderGraduate,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,60,27,2014,51-60,Low Spender,40.74074074074074,3.7037037037037033,22.22222222222222,7.4074074074074066,3.7037037037037033,22.22222222222222,Medium
4141,1965,UnderGraduate,In Relationship,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,49,776,2013,41-50,Medium Spender,54.89690721649485,6.314432989690721,16.3659793814433,14.304123711340205,2.7061855670103094,5.412371134020619,Very High
6182,1984,UnderGraduate,In Relationship,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,30,53,2014,<30,Low Spender,20.754716981132077,7.547169811320755,37.735849056603776,18.867924528301888,5.660377358490567,9.433962264150944,Low
5324,1981,PhD,In Relationship,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,33,422,2014,30-40,Medium Spender,40.99526066350711,10.189573459715639,27.96208530805687,10.90047393364929,6.398104265402843,3.5545023696682465,High
7446,1967,Master,In Relationship,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,47,716,2013,41-50,Medium Spender,72.62569832402235,5.865921787709497,13.687150837988826,0.0,5.865921787709497,1.9553072625698324,High
965,1971,UnderGraduate,Single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,43,590,2012,41-50,Medium Spender,39.83050847457627,11.016949152542372,27.796610169491526,8.47457627118644,8.305084745762711,4.576271186440678,High
6177,1985,PhD,In Relationship,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,29,169,2013,<30,Medium Spender,44.97041420118343,5.9171597633136095,33.13609467455622,1.7751479289940828,0.591715976331361,13.609467455621301,Low
4855,1974,PhD,In Relationship,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,40,46,2013,30-40,Low Spender,30.434782608695656,0.0,52.17391304347826,6.521739130434782,6.521739130434782,4.3478260869565215,Low
5899,1950,PhD,In Relationship,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,64,49,2014,>60,Low Spender,57.14285714285714,0.0,12.244897959183673,2.0408163265306123,2.0408163265306123,26.53061224489796,Low
